"Indicator","Text","Rating"
"AnalysisInquiryFootnote","This dimension does not appear in the CLASS K-3 manual. Therefore, scores represent upper grade classrooms only.","None"
"LanguageModelingIntro","Elementary classrooms at this school averaged in the low range.","Low"
"StudentPerspective","The teacher is flexible in following student leads, interests, and ideas and looks for ways to meaningfully engage students. Although the teacher has a lesson plan, students’ ideas are incorporated into it. The teacher consistently supports student autonomy and provides meaningful leadership opportunities. Students have frequent opportunities to talk, share ideas, and work together. Students have appropriate freedom of movement during activities.","High"
"ConceptDevelopmentIntro","Elementary classrooms at this school averaged in the low range.","Low"
"PositiveClimateIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"LanguageModelingFootnote","The CLASS observation protocols for this dimension vary by grade level. The K-3 tool focuses on Language Modeling, whereas the tool used for all other grades focuses on Instructional Dialogue.","None"
"ContentUnderstandingIntro","Upper grades classrooms at this school averaged in the high range.","High"
"InstructionalDialogue","At the high range, there are frequent, content-driven discussions in the class between teachers and students or among students. The discussions build depth of knowledge through cumulative, contingent exchanges. The class dialogues are distributed in a way that the teacher and the majority of students take an active role or students are actively engaged in instructional dialogues with each other. The teacher and students frequently use strategies that encourage more elaborate dialogue, such as open-ended questions, repetition or extension, and active listening. Students respond to these techniques by fully participating in extended dialogues. ","High"
"TeacherSensitivity","The teacher's awareness of students and their needs is consistent and accurate. The teacher may predict how difficult a new task is for a student and acknowledge this difficulty. The teacher is responsive to students’ comments and behaviors, whether positive or negative. The teacher consistently addresses students’ problems and concerns and is effective in doing so. Students are obviously comfortable with the teacher and share ideas, work comfortably together, and ask and respond to questions (even difficult questions).","High"
"StudentPerspectiveIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"BehaviorManagement","Although rules and expectations may be stated, they are not consistently enforced, or the rules may be unclear. Sometimes, the teacher proactively anticipates and prevents misbehavior, but at other times the teacher ignores behavioral problems until it is too late. Misbehavior may escalate because redirection is not always effective. Episodes of misbehavior are periodic.","Middle"
"TeacherSensitivity","The teacher is sometimes aware of student needs or aware of only a limited type of student needs, such as academic needs, not social-emotional needs. Or the teacher may be aware of some students' needs and not of other students' needs. The teacher does not always realize a student is confused and needs extra help or when a student already knows the material being taught. The teacher may be responsive at times to students, but at other times may ignore or dismiss students. The teacher may respond only to students who are upbeat and positive and not support students who are upset. The teacher is sometimes effective in addressing students’ concerns or problems, but not always.","Middle"
"ConceptDevelopment ","To some extent, the teacher uses discussions and activities to encourage students to analyze and reason and focuses somewhat on understanding of ideas. The activities and discussions are not fully developed, however, and there is still instructional time that focuses on facts and basic skills. Students may have some opportunities for creating and generating ideas, but the opportunities are occasional and not planned out. Although some concepts may be linked and also related to students’ previous learning, such efforts are brief. The teacher makes some effort to relate concepts to students’ lives but does not elaborate enough to make the relationship meaningful to students.","Middle"
"StudentEngagement","In the low range, the majority of students appear distracted or disengaged.","Low"
"InstructionalDialogueIntro","Upper grades classrooms at this school averaged in the middle range.","Middle"
"InstructionalFormat","In the high range, the teacher has multiple strategies and tools to facilitate engagement and learning and encourage participation. The teacher may move around, talk and play with students, ask open-ended questions of students, and allow students to explore. A variety of tools and props are used, including movement and visual/auditory resources. Students are consistently interested and engaged in the activities and lessons. The teacher focuses students on the learning objectives, which students understand. The teacher uses advanced organizers to prepare students for an activity, as well as reorientation strategies that help students regain focus.","High"
"BehaviorManagementIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"StudentPerspectiveIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"ConceptDevelopment ","At the low range, the teacher does not attempt to develop students’ understanding of ideas and concepts, focusing instead on basic facts and skills. Discussion and activities do not encourage students to analyze and reason. There are few, if any, opportunities for students to create or generate ideas and products. The teacher does not link concepts to one another and does not ask students to make connections with previous content or their actual lives. The activities and the discussion are removed from students’ lives and from their prior knowledge.","Low"
"PositiveClimate","There are many indications that the relationship among students and the teacher is positive and warm. The teacher is typically in close proximity to students, and encouragement is sincere and personal. There are frequent displays of shared laughter, smiles, and enthusiasm. Teachers and students show respect for one another (e.g., listening, using calm voices, using polite language). Positive communication (both verbal and nonverbal) and mutual respect are evident throughout the session. ","High"
"PositiveClimateIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"StudentEngagementIntro","Upper grades classrooms at this school averaged in the middle range.","Middle"
"AnalysisInquiryIntro ","Upper grades classrooms at this school averaged in the high range.","High"
"ConceptDevelopmentIntro","Elementary classrooms at this school averaged in the middle range.","Middle"
"PositiveClimateIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"InstructionalFormatIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"NegativeClimateIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"TeacherSensitivityIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"NegativeClimateIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"QualityFeedbackIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"TeacherSensitivityIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"ProductivityIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"LanguageModelingIntro","Elementary classrooms at this school averaged in the middle range.","Middle"
"TeacherSensitivityIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"ProductivityIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"QualityFeedbackIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"StudentPerspectiveIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"NegativeClimateIntroSec","Classrooms at this school averaged in the low range.","Low"
"AnalysisInquiryIntro ","Upper grades classrooms at this school averaged in the low range.","Low"
"ProductivityIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"ProductivityIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"PositiveClimateIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"PositiveClimateIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"ConceptDevelopmentFootnote","The CLASS observation protocols for this dimension vary by grade level. The K-3 tool focuses on Concept Development, whereas the tool used for all other grades focuses on Content Understanding.","None"
"StudentEngagementIntro","Upper grades classrooms at this school averaged in the high range.","High"
"StudentEngagementFootnote","This dimension does not appear in the CLASS K-3 manual. Therefore, scores represent upper grade classrooms only.","None"
"InstructionalFormatIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"NegativeClimateIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"QualityFeedback","In the middle range, the teacher sometimes provides scaffolds to students, but this is not consistent. On occasion, the teacher facilitates feedback loops so that students may elaborate and expand on their thinking, but these moments are not sustained long enough to accomplish a learning objective. The teacher sometimes asks students about or prompts them to explain their thinking and provides information to help students understand, but sometimes the feedback is perfunctory. The teacher sometimes encourages student efforts and persistence.","Middle"
"TeacherSensitivity","The teacher has not been aware of students who need extra support and pays little attention to students’ needs. As a result, students are frustrated, confused, and disengaged. The teacher is unresponsive to and dismissive of students and may ignore students, squash their enthusiasm, and not allow them to share their moods or feelings. The teacher is not effective in addressing students’ needs and does not appropriately acknowledge situations that may be upsetting to students. Students rarely seek support from the teacher and minimize conversations with the teacher, not sharing ideas or responding to questions.","Low"
"LanguageModeling","There are frequent conversations in the classroom, particularly between students and the teacher, and these conversations promote language use. Students are encouraged to converse and feel they are valued conversational partners. The teacher asks many open-ended questions that require students to communicate more complex ideas. The teacher often extends or repeats student responses. Frequently, the teacher maps his or her actions and student actions descriptively and uses advanced language with students.","High"
"QualityFeedbackIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"StudentPerspective","The teacher exhibits control at times, but at other times follows the students’ lead and gives them some choices and opportunities to follow their interests. There are some opportunities for students to exercise autonomy, but student choice is limited. The teacher may assign students responsibility in the classroom but in a limited way. The teacher dominates the discussion at times, but at other times allows students to share ideas, although only at a minimal level or for a short period of time.","Middle"
"InstructionalFormatIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"BehaviorManagement","At the high range, the rules and guidelines for behavior are clear, and they are consistently reinforced by the teacher. The teacher monitors the classroom and prevents problems from developing, using subtle cues to redirect behavior and address situations before they escalate. The teacher focuses on positive behavior and consistently affirms students’ desirable behaviors. The teacher effectively uses cues to redirect behavior. There are no, or very few, instances of student misbehavior or disruption.","High"
"AnalysisInquiryIntro ","Upper grades classrooms at this school averaged in the middle range.","Middle"
"TeacherSensitivityIntroSec","Classrooms at this school averaged in the low range.","Low"
"ProductivityIntroSec","Classrooms at this school averaged in the high range.","High"
"LanguageModelingIntro","Elementary classrooms at this school averaged in the high range.","High"
"ConceptDevelopment ","At the high range, the teacher frequently guides students to analyze and reason during discussions and activities. Most of the questions are open ended and encourage students to think about connections and implications. Teachers use problem solving, experimentation, and prediction; comparison and classification; and evaluation and summarizing to promote analysis and reasoning. The teacher provides students with opportunities to be creative and generate ideas. The teacher consistently links concepts to one another and to previous learning and relates concepts to students’ lives.","High"
"NegativeClimateIntroSec","Classrooms at this school averaged in the high range.","High"
"PositiveClimateIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"TeacherSensitivityIntroSec","Classrooms at this school averaged in the high range.","High"
"StudentPerspectiveIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"ContentUnderstandingIntro","Upper grades classrooms at this school averaged in the low range.","Low"
"StudentEngagement","In the middle range, students are passively engaged, listening to or watching the teacher; student engagement is mixed, with the majority of students actively engaged for part of the time and disengaged for the rest of the time; or there is a mix of student engagement, with some students actively engaged and some students disengaged.","Middle"
"ProductivityIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"ConceptDevelopmentIntro","Elementary classrooms at this school averaged in the high range.","High"
"PositiveClimateIntroSec","Classrooms at this school averaged in the low range.","Low"
"ProductivityIntroSec","Classrooms at this school averaged in the low range.","Low"
"ContentUnderstanding","At the high range, the focus of the class is on encouraging deep understanding of content through the provision of meaningful, interactive discussion and explanation of broad, organizing ideas. Class discussion and materials consistently communicate the essential attributes of concepts and procedures to students. New concepts and procedures and broad ideas are consistently linked to students’ prior knowledge in ways that advance their understanding and clarify misconceptions.","High"
"Productivity","At the middle range, the teacher does provide activities for students but loses learning time to disruptions or management tasks. There are certain times when the teacher provides clear activities to students, but there are other times when students wait and lose focus. Some students (or all students, at some point) do not know what is expected of them. Some of the transitions may take too long, or classrooms may be productive during certain periods but then not productive during transitions. Although the teacher is mostly prepared for the class, last-minute preparations may still infringe on learning time.","Middle"
