Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Seymour High School- Payson CUSD 1,Payson CUSD 1,1.00E+13,,1.73E+11,1,School,Seymour High School,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,19.7,Commendable,219,93.6,,,,,,5.9,20.1,16.4,,48.9,,33.3,92,9.5,44,19.2,6.4,82.4,14.3,5,,,,,84,,,2,,,40,3,70,4,41,3,28,2,36,2,92,59.1,23,102,21,101,41,44.4,38,58,65.5,29,82.9,22.6,55,146,,,120,26,Not Provided,,,,,,,,,3779,92,59.1,212,22,82,48,69,28,53,32,70,45,41,79,60,48,75,92,91,37,29,99,62,36,22,1,17,1,1,69,32,36,16,17,20,1,29,9,16,17,30,40,70,41,28,36,2,-1
Seymour Elementary School- Payson CUSD 1,Payson CUSD 1,1.00E+13,,1.73E+11,1,School,Seymour Elementary School,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,20.4,Exemplary,267,92.1,,,,,,4.1,18,16.1,,50.9,,,94.6,6.2,13,6.4,,,16.3,5,,,,,91.4,,,1,,,42,3,44,3,43,3,57,3,52,3,95.1,64.3,41,134,29,134,59.9,54.3,11,36,30.6,,,12.2,24,65,,,34,31,,,,,,,,,,3778,95.1,64.3,102,28,58,38,38,36,19,35,51,13,66,48,49,33,50,49,34,49,46,45,41,,62,54,59,45,,72,52,39,66,62,3,58,42,16,,41,58,42,44,43,57,52,3,0
Liberty High School- Liberty CUSD 2,Liberty CUSD 2,1.00E+13,,1.72E+11,1,School,Liberty High School,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,24.8,Exemplary,263,95.1,,,,,,,28.5,23.2,,25.1,,10,93.7,4.5,15,5.6,,100,14.7,3.7,,,,,90.2,,,2,,,58,3,44,3,63,4,48,3,39,2,95.8,75,56,140,48,140,41.9,46.1,68,103,66,34,97.1,18,20,36,,,11,25,,,,,,,,,,3145,95.8,75,265,32,75,37,39,37,24,59,56,64,65,71,47,50,55,47,80,59,78,44,60,42,71,47,44,28,1,88,54,67,59,26,46,28,48,65,34,54,68,58,44,63,48,39,3,0
Liberty Elementary School- Liberty CUSD 2,Liberty CUSD 2,1.00E+13,,1.72E+11,1,School,Liberty Elementary School,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,22.8,Commendable,364,97.3,,,,,,,20.9,15.7,,22,,,95.5,6.3,,,,,19.4,3,,,,,88.9,,,1,,,51,3,50,3,54,3,74,4,64,4,99.2,77.3,75,177,69,177,44.2,40.7,33,43,76.7,,,10.1,18,35,,,21,14,,,,,,,,,,3144,99.2,77.3,126,44,55,52,43,37,34,46,56,43,64,61,57,47,62,40,96,54,64,37,41,,79,69,63,84,,99,57,56,79,73,41,54,67,28,,84,72,51,50,54,74,64,4,2
Central High School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central High School,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,21.4,Commendable,239,95.4,,,,,,,20.5,15.1,,36.8,,,95.5,9.4,,,,84.3,12.2,5,,,,,92.9,,,2,,,46,3,28,2,41,3,50,3,50,3,74.5,85.7,25,65,25,65,,,49,65,76.6,53,91.4,11.6,33,43,,,33,10,,,,,,,,,,1933,74.5,85.7,239,21,75,6,35,44,17,15,77,37,50,77,30,19,45,34,99,36,49,25,71,39,80,57,46,49,1,94,52,47,61,63,52,41,49,53,42,57,71,46,28,41,50,50,2,-1
Central Junior High School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central Junior High School,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,21.7,Exemplary,240,94.6,,,,,,,23.8,16.3,,37.9,,41.7,95.4,4.9,12,4.8,,,18.9,5,,,,,90,,,4,,,65,4,63,4,34,2,66,4,60,4,95,83.3,96,242,58,241,61.5,60.1,79,118,66.9,,,9.9,34,53,,,43,10,,,,,,,,,,1934,95,83.3,241,18,61,37,70,61,55,56,76,43,13,45,73,45,56,38,99,45,65,78,46,,73,61,99,33,,67,77,34,92,93,25,37,38,39,,45,62,65,63,34,66,60,5,3
Central Elementary Grade School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central Elementary Grade School,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 2,25.1,Commendable,180,97.2,,,,,,,18.3,16.1,,38.9,,,94.2,7.1,,,,,16.1,5,,,,,89.6,,,1,,,18,1,15,1,33,2,,0,,0,0,57.1,,,,,,,,,,,,15.2,4,6,,,3,3,,,,,,,,,,1932,0,57.1,0,21,51,1,6,34,1,1,32,13,56,51,21,1,15,,46,31,6,32,25,,,,,,,,,,,,,,,,,,,18,15,33,,,1,-3
Central 3-4 Middle School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central 3-4 Middle School,Golden,Adams,UNIT,MEDIUM,ELEMENTARY,3 - 4,27.5,Commendable,109,92.7,,,,,,,22.9,22,,42.2,,,95.3,10.7,,,,,15.3,5,,,,,90.9,,,2,,,56,3,46,3,42,3,47,3,22,2,95,91.7,22,104,33,104,47.6,35.5,,,,,,,,,,,,,,,,,,,,,,1931,95,91.7,40,12,59,13,41,50,54,51,62,47,28,79,55,1,59,6,99,51,60,64,48,,49,,44,55,,,13,,61,12,,42,31,,,42,45,56,46,42,47,22,2,-1
Unity High School- CUSD 4,CUSD 4,1.00E+13,,1.73E+11,1,School,Unity High School,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,18,Commendable,178,95.5,,,,,,,20.2,18.5,,37.1,,,92.3,10.9,12,6.5,,94.9,12.8,5,,,,,77.1,,,2,,,49,3,28,2,45,3,31,2,45,3,76.5,77.8,12,41,9,41,,,16,40,41,41,85.4,25.3,14,26,,1,12,13,,,,,,,,,,2228,76.5,77.8,179,18,58,5,13,40,1,32,54,51,37,76,50,28,38,67,35,46,71,35,55,35,16,9,52,32,1,76,44,36,54,36,19,23,31,46,19,23,39,49,28,45,31,45,2,-2
Unity Elementary School- CUSD 4,CUSD 4,1.00E+13,,1.73E+11,1,School,Unity Elementary School,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 4,26.8,Commendable,298,96.3,,,,,,,12.8,12.1,,33.6,,,94,7.4,,,,,19.2,5,,,,,90,,,2,,,17,1,15,1,47,3,60,4,45,3,99.9,84,30,105,49,105,42.4,49.8,,,,,,14.3,6,12,,,7,5,,,,,,,,,,2227,99.9,84,53,25,58,33,1,29,3,1,29,34,60,48,14,26,19,45,16,46,8,9,28,,94,,66,47,,,52,,43,35,,34,45,,,78,57,17,15,47,60,45,2,-1
