RCDTS,Report,School Name_x,District Name_x,School EntityID,School Type_x,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,Participating?,NCESID,ROE_x,Type,School Name_y,District Name_y,City,County,District Type,District Size,School Type_y,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name,school_id,School Name,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
10090150260007,Beardstown Jr/Sr High School- Beardstown CUSD 15,Beardstown Jr/Sr High School,Beardstown CUSD 15,906,"High School,Middle/Jr. High",905,1,3,2023,TComp,West Central,10090150260007,170531000216.0,1.0,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,5 - 12,24.0,Commendable,813.0,30.3,9.0,57.4,,,,,14.4,14.4,44.0,64.9,2.1,21.6,92.8,15.7,133.0,15.0,5.7,83.5,19.7,4.5,,,,,86.7,,,2.0,,,47.0,3.0,36.0,2.0,35.0,2.0,37.0,2.0,47.0,3.0,65.0,57.1,40.0,476.0,20.0,475.0,42.6,39.4,89.0,285.0,31.7,94.0,86.2,23.5,101,219,Not Provided,,147,72,Not Provided,Illinois,Beardstown Jr/Sr High School,10090150260007,1,Beardstown CUSD 15,1705310,33-Town: Remote,3,0.9878787878787879,0.45575757575757575,0.0048484848484848485,0.013333333333333334,0.5393939393939394,0.10666666666666667,0.3187878787878788,0.0048484848484848485,0.012121212121212121,15.22,825,4-Title I schoolwide eligible school-No program,IL-01-009-0150-26-0100901500007,IL-01-009-0150-26,No,815,449,376,4,11,445,88,263,4,10,825,54.19,15.22,High,5th Grade,12th Grade,1,3.0,West Central,1641.0,Beardstown Jr/Sr High School,65.0,57.1,829.0,84.0,53.0,38.0,22.0,31.0,1.0,35.0,61.0,40.0,33.0,66.0,41.0,38.0,41.0,40.0,99.0,31.0,62.0,36.0,44.0,26.0,61.0,52.0,72.0,54.0,1.0,56.0,52.0,42.0,56.0,41.0,32.0,32.0,28.0,40.0,39.0,71.0,53.0,47.0,36.0,35.0,37.0,47.0,1.0,-3.0
10691170221013,Jacksonville Middle School- Jacksonville SD 117,Jacksonville Middle School,Jacksonville SD 117,14212,Middle/Jr. High,14210,1,3,2023,TComp,West Central,10691170221013,172028002285.0,1.0,School,Jacksonville Middle School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,MIDDLE SCHL,6 - 8,23.4,Comprehensive,704.0,74.6,9.4,4.8,,,,9.9,23.4,20.0,1.6,56.1,2.4,30.8,91.6,8.0,140.0,18.8,,,20.9,5.0,,,,,83.1,,,4.0,,,48.0,3.0,42.0,3.0,30.0,2.0,38.0,2.0,50.0,3.0,78.9,87.0,171.0,695.0,122.0,695.0,40.2,40.9,131.0,250.0,53.5,,,24.6,153,548,2,Not Provided,204,340,2,Illinois,Jacksonville Middle School,10691170221013,1,Jacksonville SD 117,1720280,32-Town: Distant,3,0.5560165975103735,0.5145228215767634,0.005532503457814661,0.008298755186721992,0.04426002766251729,0.10511756569847856,0.73582295988935,0.0,0.10096818810511757,12.05,723,5-Title I schoolwide school,IL-01-069-1170-22-0106911701013,IL-01-069-1170-22,No,402,351,372,4,6,32,76,532,0,73,723,59.99,12.05,Middle,5th Grade,8th Grade,1,3.0,West Central,2956.0,Jacksonville Middle School,78.9,87.0,706.0,77.0,38.0,55.0,40.0,52.0,19.0,36.0,60.0,32.0,20.0,27.0,39.0,38.0,32.0,18.0,99.0,37.0,42.0,46.0,24.0,,33.0,46.0,62.0,50.0,,59.0,83.0,21.0,45.0,48.0,25.0,37.0,27.0,53.0,,37.0,46.0,48.0,42.0,30.0,38.0,50.0,2.0,-2.0
10691170222006,Lincoln Elementary School- Jacksonville SD 117,Lincoln Elementary School,Jacksonville SD 117,14217,Elementary,14210,1,6,2023,CSI/NA,Southeast,10691170222006,172028002289.0,1.0,School,Lincoln Elementary School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,22.9,Comprehensive,267.0,50.2,22.8,5.2,,,,21.0,23.6,22.5,,86.1,3.7,,91.2,15.3,65.0,27.1,,,24.8,5.0,,,,,85.2,,,1.0,,,34.0,2.0,35.0,2.0,8.0,1.0,71.0,4.0,48.0,3.0,85.1,75.0,14.0,117.0,6.0,117.0,33.0,31.0,7.0,33.0,21.2,,,33.2,39,84,,,57,27,,Illinois,Lincoln Elem School,10691170222006,1,Jacksonville SD 117,1720280,32-Town: Distant,3,0.8739495798319328,0.5042016806722689,0.012605042016806723,,0.03361344537815126,0.29831932773109243,0.5,,0.15546218487394958,11.51,238,5-Title I schoolwide school,IL-01-069-1170-22-0106911702006,IL-01-069-1170-22,No,208,118,120,3,–,8,71,119,–,37,238,20.67,11.51,Elementary,Kindergarten,3rd Grade,7,1.0,Northeast,2798.0,Lincoln Elementary School,85.1,75.0,74.0,24.0,61.0,59.0,25.0,38.0,1.0,38.0,32.0,6.0,17.0,8.0,50.0,16.0,25.0,1.0,92.0,1.0,27.0,16.0,33.0,,99.0,,99.0,61.0,,,68.0,,68.0,63.0,,68.0,55.0,,,83.0,60.0,34.0,35.0,8.0,71.0,48.0,2.0,-2.0
41011220221005,Harlem Middle School- Harlem UD 122,Harlem Middle School,Harlem UD 122,3752,Middle/Jr. High,3749,4,2,2023,TComp,Northwest,41011220221005,171824005017.0,4.0,School,Harlem Middle School,Harlem UD 122,Loves Park,Winnebago,UNIT,LARGE,MIDDLE SCHL,7 - 8,25.1,Comprehensive,948.0,66.0,7.5,17.0,1.4,,,7.8,24.6,18.6,5.7,60.7,1.7,18.0,88.8,7.8,453.0,45.7,,,20.1,5.0,,,,,86.7,,,3.0,,,40.0,3.0,27.0,2.0,21.0,2.0,6.0,1.0,35.0,2.0,96.7,90.4,280.0,923.0,179.0,921.0,41.7,43.8,203.0,469.0,43.8,,,40.2,290,970,,,612,358,,Illinois,Harlem Middle School,41011220221005,1,Harlem UD 122,1718240,21-Suburb: Large,2,0.5837615621788284,0.46557040082219936,0.0041109969167523125,0.011305241521068859,0.15416238437821173,0.08735868448098665,0.6618705035971223,,0.08119218910585817,12.69,973,–,IL-04-101-1220-22-0410112201005,IL-04-101-1220-22,No,568,520,453,4,11,150,85,644,–,79,973,76.7,12.69,Middle,7th Grade,8th Grade,4,2.0,Northwest,2756.0,Harlem Middle School,96.7,90.4,908.0,104.0,24.0,49.0,14.0,41.0,1.0,31.0,41.0,38.0,13.0,12.0,30.0,38.0,16.0,9.0,96.0,13.0,45.0,24.0,6.0,,1.0,1.0,7.0,53.0,,38.0,55.0,1.0,10.0,24.0,1.0,7.0,1.0,50.0,,1.0,13.0,40.0,27.0,21.0,6.0,35.0,1.0,-4.0
41012050250001,Auburn High School- Rockford SD 205,Auburn High School,Rockford SD 205,9457,High School,9456,4,2,2023,ISI/RNA,Northwest,41012050250001,173451003599.0,4.0,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,23.3,Intensive,1725.0,28.4,39.4,20.3,3.9,,,7.9,18.2,14.0,4.9,59.7,4.5,,84.7,25.1,1080.0,52.1,8.5,59.6,21.7,5.0,,,,,84.4,,,2.0,,,11.0,1.0,19.0,1.0,19.0,1.0,28.0,2.0,45.0,3.0,62.6,64.5,104.0,359.0,77.0,358.0,,,97.0,262.0,38.3,352.0,75.1,53.5,479,1562,8,1,1130,371,52,Illinois,Auburn High School,41012050250001,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.4422348484848485,0.5104166666666666,0.001893939393939394,0.03409090909090909,0.18087121212121213,0.4266098484848485,0.27698863636363635,0.0014204545454545455,0.078125,21.36,2112,5-Title I schoolwide school,IL-04-101-2050-25-0410120500001,IL-04-101-2050-25,No,934,1034,1078,4,72,382,901,585,3,165,2112,98.88,21.36,High,9th Grade,12th Grade,4,2.0,Northwest,4088.0,Auburn High School,62.6,64.5,1691.0,121.0,28.0,35.0,12.0,3.0,1.0,10.0,12.0,26.0,22.0,44.0,3.0,26.0,15.0,19.0,48.0,9.0,20.0,32.0,6.0,12.0,50.0,42.0,69.0,58.0,1.0,40.0,57.0,43.0,49.0,46.0,9.0,39.0,13.0,67.0,39.0,55.0,49.0,11.0,19.0,19.0,28.0,45.0,1.0,-4.0
41012050251001,West Middle School- Rockford SD 205,West Middle School,Rockford SD 205,9461,Middle/Jr. High,9456,4,2,2023,ISI/RNA,Northwest,41012050251001,173451005448.0,4.0,School,West Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,6 - 8,20.2,Intensive,828.0,23.2,48.1,16.9,,,,10.6,23.2,19.3,8.8,74.2,5.2,8.4,85.9,18.4,527.0,57.2,,,25.1,5.0,,,,,74.6,,,3.0,,,,0.0,,0.0,,0.0,9.0,1.0,56.0,3.0,67.6,32.1,96.0,817.0,13.0,815.0,41.9,39.6,71.0,283.0,25.3,,,54.5,407,1733,2,,1285,423,23,Illinois,West Middle School,41012050251001,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.5714285714285714,0.5210084033613446,0.0031512605042016808,0.007352941176470588,0.17436974789915966,0.48739495798319327,0.22899159663865545,,0.09873949579831932,16.42,952,5-Title I schoolwide school,IL-04-101-2050-25-0410120501001,IL-04-101-2050-25,No,544,456,496,3,7,166,464,218,–,94,952,57.99,16.42,Middle,6th Grade,8th Grade,4,2.0,Northwest,4130.0,West Middle School,67.6,32.1,820.0,56.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,37.0,72.0,,28.0,60.0,5.0,21.0,37.0,1.0,5.0,1.0,36.0,,2.0,9.0,,,,9.0,56.0,2.0,-1.0
41012050251006,Eisenhower Middle School- Rockford SD 205,Eisenhower Middle School,Rockford SD 205,9462,Middle/Jr. High,9456,4,2,2023,TComp,Northwest,41012050251006,173451004426.0,4.0,School,Eisenhower Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,6 - 8,20.4,Comprehensive,955.0,41.9,22.6,21.8,4.8,,,8.6,17.7,12.7,13.9,54.9,3.0,28.9,90.3,9.9,314.0,30.8,,,27.5,4.3,,,,,89.1,,,1.0,,,,0.0,,0.0,,0.0,17.0,1.0,47.0,3.0,80.9,39.3,168.0,958.0,53.0,957.0,35.9,36.5,101.0,321.0,31.8,,,37.0,308,1543,2,,1218,314,9,Illinois,Eisenhower Middle School,41012050251006,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.35927505330490406,0.4690831556503198,0.0010660980810234541,0.04904051172707889,0.2345415778251599,0.23773987206823027,0.40191897654584224,0.0021321961620469083,0.07356076759061833,16.72,938,5-Title I schoolwide school,IL-04-101-2050-25-0410120501006,IL-04-101-2050-25,No,337,498,440,1,46,220,223,377,2,69,938,56.1,16.72,Middle,6th Grade,8th Grade,4,2.0,Northwest,4099.0,Eisenhower Middle School,80.9,39.3,968.0,61.0,,,,,,,,,,,,,,,,,,,,,17.0,13.0,39.0,56.0,,47.0,47.0,7.0,25.0,37.0,19.0,17.0,4.0,57.0,,17.0,22.0,,,,17.0,47.0,2.0,-1.0
41012050251009,Abraham Lincoln Middle School- Rockford SD 205,Abraham Lincoln Middle School,Rockford SD 205,9464,Middle/Jr. High,9456,4,2,2023,ISI/RNA,Northwest,41012050251009,173451003558.0,4.0,School,Abraham Lincoln Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,6 - 8,19.6,Intensive,693.0,23.2,38.0,23.7,5.9,,,8.7,19.9,18.5,19.9,78.9,5.8,22.0,85.7,20.2,428.0,54.9,,,21.6,3.3,,,,,80.3,,,3.0,,,,0.0,,0.0,,0.0,18.0,1.0,57.0,3.0,84.8,36.8,38.0,690.0,12.0,683.0,32.5,39.0,25.0,208.0,12.1,,,52.7,293,1549,5,,1037,482,25,Illinois,Abraham Lincoln Middle School,41012050251009,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.5783308931185944,0.4773060029282577,0.0029282576866764276,0.06149341142020498,0.18448023426061494,0.38799414348462663,0.26061493411420206,0.004392386530014641,0.09809663250366032,15.12,683,5-Title I schoolwide school,IL-04-101-2050-25-0410120501009,IL-04-101-2050-25,No,395,357,326,2,42,126,265,178,3,67,683,45.17,15.12,Middle,6th Grade,8th Grade,4,2.0,Northwest,4086.0,Abraham Lincoln Middle School,84.8,36.8,664.0,57.0,,,,,,,,,,,,,,,,,,,,,16.0,8.0,52.0,76.0,,35.0,62.0,1.0,33.0,34.0,1.0,10.0,1.0,48.0,,16.0,20.0,,,,18.0,57.0,2.0,-1.0
41012050251010,Kennedy Middle School- Rockford SD 205,Kennedy Middle School,Rockford SD 205,9465,Middle/Jr. High,9456,4,2,2023,ISI/RNA,Northwest,41012050251010,173451003394.0,4.0,School,Kennedy Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,6 - 8,21.3,Intensive,359.0,15.0,62.4,14.5,,,,7.8,24.0,21.2,5.6,88.3,6.4,9.2,81.2,29.3,327.0,74.3,,,18.0,1.4,,,,,74.2,,,3.0,,,,0.0,,0.0,,0.0,13.0,1.0,45.0,3.0,55.6,43.2,17.0,349.0,2.0,345.0,34.9,36.1,12.0,136.0,9.0,,,70.9,266,1589,5,Not Provided,1333,225,26,Illinois,Kennedy Middle School,41012050251010,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.714902807775378,0.490280777537797,0.0021598272138228943,0.0021598272138228943,0.15334773218142547,0.6241900647948164,0.1468682505399568,,0.07127429805615551,13.55,463,5-Title I schoolwide school,IL-04-101-2050-25-0410120501010,IL-04-101-2050-25,No,331,236,227,1,1,71,289,68,–,33,463,34.16,13.55,Middle,6th Grade,8th Grade,4,2.0,Northwest,4109.0,Kennedy Middle School,55.6,43.2,338.0,37.0,,,,,,,,,,,,,,,,,,,,,17.0,1.0,60.0,64.0,,30.0,53.0,4.0,23.0,18.0,1.0,4.0,1.0,35.0,,1.0,9.0,,,,13.0,45.0,2.0,-1.0
41012050252024,Ellis Elementary School- Rockford SD 205,Ellis Elementary School,Rockford SD 205,9477,Elementary,9456,4,2,2023,ISI/RNA,Northwest,41012050252024,173451003563.0,4.0,School,Ellis Elementary School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,ELEMENTARY,K - 5,20.1,Intensive,397.0,8.6,66.8,13.9,,,,10.8,22.2,21.2,9.1,88.9,7.6,,85.0,27.0,236.0,60.2,,,26.8,2.1,,,,,76.7,,,2.0,,,58.0,3.0,53.0,3.0,13.0,1.0,43.0,3.0,42.0,3.0,96.5,65.8,6.0,204.0,4.0,203.0,37.3,33.6,9.0,64.0,14.1,,,61.0,110,288,,,126,161,1,Illinois,Ellis Elementary School,41012050252024,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.6772486772486772,0.4021164021164021,,,0.11904761904761904,0.6984126984126984,0.08465608465608465,,0.09788359788359788,14.16,378,5-Title I schoolwide school,IL-04-101-2050-25-0410120502024,IL-04-101-2050-25,No,256,226,152,–,–,45,264,32,–,37,378,26.7,14.16,Elementary,Kindergarten,5th Grade,4,2.0,Northwest,4100.0,Ellis Elementary School,96.5,65.8,114.0,41.0,1.0,58.0,41.0,42.0,67.0,62.0,65.0,38.0,1.0,1.0,63.0,59.0,38.0,1.0,96.0,1.0,62.0,65.0,1.0,,70.0,,62.0,52.0,,,52.0,,44.0,62.0,,43.0,24.0,,,55.0,35.0,58.0,53.0,13.0,43.0,42.0,2.0,-1.0
