RCDTS,Report,NCESID,Grades Served,School Type,Summative Designation,# Student Enrollment,% Student Enrollment - Children with Disabilities,% Student Enrollment - Low Income,teacher_count,colb,colr,inf3,ins3,pgmc,pnfl,prt4,qpd2,trpa,trte
10090150260007,Beardstown Jr/Sr High School- Beardstown CUSD 15,170531000216.0,5 - 12,HIGH SCHOOL,Commendable,813.0,14.4,64.9,54.19,38.0,22.0,31.0,35.0,61.0,40.0,33.0,41.0,31.0,36.0
10691170221013,Jacksonville Middle School- Jacksonville SD 117,172028002285.0,6 - 8,MIDDLE SCHL,Comprehensive,704.0,23.4,56.1,59.99,55.0,40.0,52.0,36.0,60.0,32.0,20.0,39.0,37.0,46.0
10691170222006,Lincoln Elementary School- Jacksonville SD 117,172028002289.0,K - 5,ELEMENTARY,Comprehensive,267.0,23.6,86.1,20.67,59.0,25.0,38.0,38.0,32.0,6.0,17.0,50.0,1.0,16.0
41011220221005,Harlem Middle School- Harlem UD 122,171824005017.0,7 - 8,MIDDLE SCHL,Comprehensive,948.0,24.6,60.7,76.7,49.0,14.0,41.0,31.0,41.0,38.0,13.0,30.0,13.0,24.0
41012050250001,Auburn High School- Rockford SD 205,173451003599.0,9 - 12,HIGH SCHOOL,Intensive,1725.0,18.2,59.7,98.88,35.0,12.0,3.0,10.0,12.0,26.0,22.0,3.0,9.0,32.0
41012050251001,West Middle School- Rockford SD 205,173451005448.0,6 - 8,MIDDLE SCHL,Intensive,828.0,23.2,74.2,57.99,,,,,,,,,,
41012050251006,Eisenhower Middle School- Rockford SD 205,173451004426.0,6 - 8,MIDDLE SCHL,Comprehensive,955.0,17.7,54.9,56.1,,,,,,,,,,
41012050251009,Abraham Lincoln Middle School- Rockford SD 205,173451003558.0,6 - 8,MIDDLE SCHL,Intensive,693.0,19.9,78.9,45.17,,,,,,,,,,
41012050251010,Kennedy Middle School- Rockford SD 205,173451003394.0,6 - 8,MIDDLE SCHL,Intensive,359.0,24.0,88.3,34.16,,,,,,,,,,
41012050252024,Ellis Elementary School- Rockford SD 205,173451003563.0,K - 5,ELEMENTARY,Intensive,397.0,22.2,88.9,26.7,58.0,41.0,42.0,62.0,65.0,38.0,1.0,63.0,1.0,65.0
